Project,Client,Description,Duration,Billable duration,Amount USD,category
NMFS-Openscapes,OpenScapes,Data Academy,13:15:00,13:15:00,1325,material review
NMFS-Openscapes,OpenScapes,Data Academy + Hutch Slides,02:00:00,02:00:00,200,material review
NMFS-Openscapes,OpenScapes,Data Academy admin,13:45:00,13:45:00,1375,admin
NMFS-Openscapes,OpenScapes,Data Academy Admin,03:45:00,03:45:00,375,admin
NMFS-Openscapes,OpenScapes,Data Academy admin / Google Space,01:00:00,01:00:00,100,google chat
NMFS-Openscapes,OpenScapes,Data Academy admin / prep,03:45:00,03:45:00,375,material review
NMFS-Openscapes,OpenScapes,Data Academy and misc NMFS,02:15:00,02:15:00,225,admin
NMFS-Openscapes,OpenScapes,Data Academy documentation,01:45:00,01:45:00,175,admin
NMFS-Openscapes,OpenScapes,Data Academy Help Desk - NMFS Openscapes (Optional),13:00:00,13:00:00,1300,help desk
NMFS-Openscapes,OpenScapes,Data Academy Help Desk prep,03:00:00,03:00:00,300,material review
NMFS-Openscapes,OpenScapes,Data Academy Help Desk Prep,02:00:00,02:00:00,200,material review
NMFS-Openscapes,OpenScapes,data academy helpdesk prep,03:00:00,03:00:00,300,material review
NMFS-Openscapes,OpenScapes,Data Academy huddle,01:00:00,01:00:00,100,planning
NMFS-Openscapes,OpenScapes,Data Academy planning,02:15:00,02:15:00,225,planning
NMFS-Openscapes,OpenScapes,Data Academy prep/admin; NMFS quarto issues,03:45:00,03:45:00,375,admin
NMFS-Openscapes,OpenScapes,data academy setup,03:45:00,03:45:00,375,planning
NMFS-Openscapes,OpenScapes,Documenting Data Academy,07:30:00,07:30:00,750,admin
NMFS-Openscapes,OpenScapes,Fall Data Academy prep,04:30:00,04:30:00,450,
NMFS-Openscapes,OpenScapes,NMFS Data Academy,02:30:00,02:30:00,250,material review
NMFS-Openscapes,OpenScapes,NMFS Data Academy planning,04:00:00,04:00:00,400,planning
